GRUPO TAXONOMICO;METODO FAUNA;CAMPANHA;MODULO;TRANSECTO;PARCELA;DATA;PERIODO SAZONAL;HORARIO;FILO;CLASSE;ORDEM;FAMILIA;SUBFAMILIA;NOME CIENTIFICO;SUBESPECIE;SENSIBILIDADE;ENDEMISMO;BIOINDICADOR;STATUS DO REGISTRO;RECAPTURA OU RECUPERACAO;SEXO;IDADE;MUDAS REMIGES (MM);MUDAS RECTRIZES  (MM);MUDAS CONTORNO  (MM);PLACA DE INCUBACAO;COMPRIMENTO ASA (MM);COMPRIMENTO CAUDA (MM);COMPRIMENTO CULMEN  (MM);COMPRIMENTO TARSO  (MM);PESO 1 (G);PESO 2  (G);PESO  (G);COR IRIS;COR BICO;COR TARSO;COMPRIMENTO TOTAL (M);;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:10:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;V;3;56.8;29.8;6.4;9.2;39.5;25;14.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:10:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;3;58.7;23.9;7.1;15.3;42;28;14;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;COLUMBIFORMES;COLUMBIDAE;NA;GEOTRYGON MONTANA;MONTANI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;INDETERMINADO;TODAS;TODAS;CDV;3;NC;NC;NC;NC;111;28.5;82.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;PLATYRINCHIDAE;NA;PLATYRINCHUS CORONATUS;CORONITUS;A;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;C;3;52.7;20.1;7.2;10.6;34.5;24.5;10;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;GALBULIFORMES;BUCCONIDAE;NA;MALACOPTILA RUFA;BRUNNESCENS;A;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;C;3;82.1;56.2;21.2;22;75.5;31;44.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;CORACIIFORMES;ALCEDINIDAE;NA;CHLOROCERYLE INDA;NI;M;NA;NA;FUGA;NAO;MACHO;ADULTO;N;NAO;N;3;88.5;59.5;42.2;11.2;83.5;27;56.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;64.4;62.7;10.7;14.8;38;23.5;14.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;INDETERMINADO;JOVEM;N;NAO;CDV;3;56.6;34.6;12.4;23.9;43.5;25.5;18;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;N;2;58.4;28.6;13;23.5;45;28;17;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;WILLISORNIS VIDUA;VIDUA;M;1;NA;ANILHADO;NAO;MACHO;ADULTO;N;TODAS;D;2;62.8;NC;12.9;23.1;45.5;28;17.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;PHAETHORNIS BOURCIERI;MAJOR;A;1;1;FUGA;NAO;FEMEA;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;APODIFORMES;TROCHILIDAE;NA;PHAETHORNIS BOURCIERI;MAJOR;A;1;1;FUGA;NAO;INDETERMINADO;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;09:59:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYPOCNEMIS STRIATA;NI;M;1;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;C;3;48;37.7;13.1;19.2;42;31;11;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;FURNARIIDAE;NA;AUTOMOLUS RUFIPILEATUS;RUFIPILEATUS;M;1;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CD;3;85;79.6;22;25.5;60;23;37;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;PYRIGLENA SIMILIS;NA;M;NA;1;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;V;3;70.2;75.3;16.3;33;65;25;40;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;PIPRIDAE;NA;PIPRA FASCIICAUDA;SCARLATINI;M;NA;NA;ANILHADO;NAO;FEMEA;ADULTO;N;NAO;DV;3;58.5;27.1;10.9;16.2;44;27;17;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;HYPOCNEMIS STRIATA;NI;M;1;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;CDV;3;48;38.3;15.4;20.5;43;31;12;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;10:36:00;CHORDATA;AVES;PASSERIFORMES;DENDROCOLAPTIDAE;NA;GLYPHORYNCHUS SPIRURUS;NI;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;N;3;64.5;68.2;12.5;16.2;44;30;14;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;XENOPIDAE;NA;XENOPS MINUTUS;GENIBARBIS;M;NA;NA;ANILHADO;NAO;INDETERMINADO;ADULTO;N;NAO;V;3;58;51;12.5;11.2;39.5;29;10.5;NC;NC;NC;NA;;;;;;
AVIFAUNA TERRESTRE;REDE - AVIFAUNA;1;5;1;1;18/04/2012;CHEIA;11:05:00;CHORDATA;AVES;PASSERIFORMES;THAMNOPHILIDAE;NA;MYRMOTHERULA AXILLARIS;AXILLARIS;M;NA;NA;COLETADO;NAO;FEMEA;ADULTO;NC;NAO;NAO;NC;NC;NC;NC;NC;NC;NC;7;MARROM;PRETO C/ BRANCO;CINZA CHUMBO;115;;;;;;
