SITE;MUNICIPALITY;STATE;LAT_Y_POINT;LONG_X_POINT;LAND_USE_surrounding_100m;COL_END_YR;ORDER;FAMILY;GENUS;SPECIES;OCCUR;NUMBER_OF_RECORDS
MT02;Juruena;MT;-9.08553;-57.80686;Forest;2015;Cichliformes;Cichlidae;Aequidens;Aequidens epae;1;2
MT03;Juruena;MT;-9.07719;-57.803;Forest;2015;Cichliformes;Cichlidae;Aequidens;Aequidens epae;1;2
MT07;Juruena;MT;-9.04492;-57.89153;Forest;2015;Cichliformes;Cichlidae;Aequidens;Aequidens epae;1;1
MT06;Juruena;MT;-9.05692;-57.78003;Forest;2015;Siluriformes;Loricariidae;Ancistrus;Ancistrus verecundus;1;1
MT09;Juruena;MT;-9.05783;-57.78564;Forest;2015;Siluriformes;Loricariidae;Ancistrus;Ancistrus verecundus;1;1
MT10;Juruena;MT;-9.03733;-57.76689;Forest;2015;Siluriformes;Loricariidae;Ancistrus;Ancistrus verecundus;1;1
MT04;Juruena;MT;-9.02458;-57.75397;Forest;2015;Characiformes;Characidae;Astyanax;Astyanax gr. bimaculatus;1;4
MT06;Juruena;MT;-9.05692;-57.78003;Forest;2015;Characiformes;Characidae;Astyanax;Astyanax gr. bimaculatus;1;9
MT09;Juruena;MT;-9.05783;-57.78564;Forest;2015;Characiformes;Characidae;Astyanax;Astyanax gr. bimaculatus;1;3
MT07;Juruena;MT;-9.04492;-57.89153;Forest;2015;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus beebei;1;1
MT07;Juruena;MT;-9.04492;-57.89153;Forest;2015;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus brevirostris;1;1
MT02;Juruena;MT;-9.08553;-57.80686;Forest;2015;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
MT04;Juruena;MT;-9.02458;-57.75397;Forest;2015;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
MT10;Juruena;MT;-9.03733;-57.76689;Forest;2015;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
MT02;Juruena;MT;-9.08553;-57.80686;Forest;2015;Characiformes;Crenuchidae;Characidium;Characidium zebra;1;1
MT10;Juruena;MT;-9.03733;-57.76689;Forest;2015;Cichliformes;Cichlidae;Crenicichla;Crenicichla inpa;1;1
MT02;Juruena;MT;-9.08553;-57.80686;Forest;2015;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia aff. trilineata;1;5
MT07;Juruena;MT;-9.04492;-57.89153;Forest;2015;Gymnotiformes; Sternopygidae;Eigenmannia ;Eigenmannia aff. trilineata;1;2
MT02;Juruena;MT;-9.08553;-57.80686;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;19
MT03;Juruena;MT;-9.07719;-57.803;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;4
MT04;Juruena;MT;-9.02458;-57.75397;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;12
MT06;Juruena;MT;-9.05692;-57.78003;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;11
MT07;Juruena;MT;-9.04492;-57.89153;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;9
MT09;Juruena;MT;-9.05783;-57.78564;Forest;2015;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;17
